tile_id,old_split,old_policy,new_split,new_policy,block_count,compatibility,action
PNOA_2015_GAL-W_504-4672_ORT-CLA-COL,train,balanced,train,balanced,89,yes,reuse_verified
PNOA_2015_GAL-W_504-4674_ORT-CLA-COL,train,balanced,train,balanced,337,yes,reuse_verified
PNOA_2015_GAL-W_504-4676_ORT-CLA-COL,train,balanced,train,balanced,372,yes,reuse_verified
PNOA_2015_GAL-W_504-4678_ORT-CLA-COL,train,balanced,train,balanced,383,yes,reuse_verified
PNOA_2015_GAL-W_504-4680_ORT-CLA-COL,train,balanced,train,balanced,342,yes,reuse_verified
PNOA_2015_GAL-W_504-4682_ORT-CLA-COL,train,balanced,train,balanced,342,yes,reuse_verified
PNOA_2015_GAL-W_504-4684_ORT-CLA-COL,train,balanced,train,balanced,349,yes,reuse_verified
PNOA_2015_GAL-W_504-4686_ORT-CLA-COL,train,balanced,train,balanced,304,yes,reuse_verified
PNOA_2015_GAL-W_506-4668_ORT-CLA-COL,train,balanced,train,balanced,593,yes,reuse_verified
PNOA_2015_GAL-W_506-4670_ORT-CLA-COL,train,balanced,train,balanced,627,yes,reuse_verified
PNOA_2015_GAL-W_506-4672_ORT-CLA-COL,train,balanced,train,balanced,814,yes,reuse_verified
PNOA_2015_GAL-W_506-4676_ORT-CLA-COL,train,balanced,train,balanced,1502,yes,reuse_verified
PNOA_2015_GAL-W_506-4674_ORT-CLA-COL,val,uniform,train,balanced,1495,no,regenerate_balanced
PNOA_2015_GAL-W_478-4756_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_478-4758_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_506-4680_ORT-CLA-COL,train,balanced,train,balanced,1434,yes,reuse_verified
PNOA_2015_GAL-W_506-4678_ORT-CLA-COL,val,uniform,train,balanced,1568,no,regenerate_balanced
PNOA_2015_GAL-W_506-4682_ORT-CLA-COL,train,balanced,train,balanced,1347,yes,reuse_verified
PNOA_2015_GAL-W_506-4684_ORT-CLA-COL,train,balanced,train,balanced,1344,yes,reuse_verified
PNOA_2015_GAL-W_506-4686_ORT-CLA-COL,train,balanced,train,balanced,1345,yes,reuse_verified
PNOA_2015_GAL-W_508-4666_ORT-CLA-COL,train,balanced,train,balanced,1471,yes,reuse_verified
PNOA_2015_GAL-W_508-4668_ORT-CLA-COL,train,balanced,train,balanced,1480,yes,reuse_verified
PNOA_2015_GAL-W_508-4664_ORT-CLA-COL,train,balanced,train,balanced,1531,yes,reuse_verified
PNOA_2015_GAL-W_508-4670_ORT-CLA-COL,val,uniform,train,balanced,1549,no,regenerate_balanced
PNOA_2015_GAL-W_508-4674_ORT-CLA-COL,train,balanced,train,balanced,1532,yes,reuse_verified
PNOA_2015_GAL-W_508-4676_ORT-CLA-COL,train,balanced,train,balanced,1403,yes,reuse_verified
PNOA_2015_GAL-W_508-4678_ORT-CLA-COL,train,balanced,train,balanced,1568,yes,reuse_verified
PNOA_2015_GAL-W_508-4672_ORT-CLA-COL,train,balanced,train,balanced,1562,yes,reuse_verified
PNOA_2015_GAL-W_508-4680_ORT-CLA-COL,train,balanced,train,balanced,1586,yes,reuse_verified
PNOA_2015_GAL-W_508-4682_ORT-CLA-COL,train,balanced,train,balanced,1560,yes,reuse_verified
PNOA_2015_GAL-W_508-4684_ORT-CLA-COL,train,balanced,train,balanced,1566,yes,reuse_verified
PNOA_2015_GAL-W_508-4686_ORT-CLA-COL,train,balanced,train,balanced,1576,yes,reuse_verified
PNOA_2015_GAL-W_510-4666_ORT-CLA-COL,train,balanced,train,balanced,1565,yes,reuse_verified
PNOA_2015_GAL-W_510-4668_ORT-CLA-COL,train,balanced,train,balanced,1591,yes,reuse_verified
PNOA_2015_GAL-W_510-4664_ORT-CLA-COL,train,balanced,train,balanced,1588,yes,reuse_verified
PNOA_2015_GAL-W_510-4670_ORT-CLA-COL,train,balanced,train,balanced,1593,yes,reuse_verified
PNOA_2015_GAL-W_510-4672_ORT-CLA-COL,train,balanced,train,balanced,1575,yes,reuse_verified
PNOA_2015_GAL-W_510-4674_ORT-CLA-COL,train,balanced,train,balanced,1536,yes,reuse_verified
PNOA_2015_GAL-W_510-4676_ORT-CLA-COL,train,balanced,train,balanced,1533,yes,reuse_verified
PNOA_2015_GAL-W_510-4678_ORT-CLA-COL,train,balanced,train,balanced,1520,yes,reuse_verified
PNOA_2015_GAL-W_510-4662_ORT-CLA-COL,train,balanced,train,balanced,1597,yes,reuse_verified
PNOA_2015_GAL-W_510-4686_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_510-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_510-4680_ORT-CLA-COL,train,balanced,train,balanced,1534,yes,reuse_verified
